step,elapsed_seconds,elapsed_hours,ambient_temp_c
247,74100,20.583333333333332,27.361
248,74400,20.666666666666664,27.287
249,74700,20.75,27.212
250,75000,20.833333333333332,27.138
251,75300,20.916666666666664,27.064
252,75600,21.0,26.99
253,75900,21.083333333333332,26.878
254,76200,21.166666666666664,26.765
255,76500,21.25,26.652
256,76800,21.333333333333332,26.54
257,77100,21.416666666666664,26.428
258,77400,21.5,26.315
259,77700,21.583333333333332,26.202
260,78000,21.666666666666664,26.09
261,78300,21.75,25.978
262,78600,21.833333333333332,25.865
263,78900,21.916666666666664,25.753
264,79200,22.0,25.64
265,79500,22.083333333333332,25.562
266,79800,22.166666666666664,25.483
267,80100,22.25,25.405
268,80400,22.333333333333332,25.327
269,80700,22.416666666666664,25.248
270,81000,22.5,25.17
271,81300,22.583333333333332,25.092
272,81600,22.666666666666664,25.013
273,81900,22.75,24.935
274,82200,22.833333333333332,24.857
275,82500,22.916666666666664,24.778
276,82800,23.0,24.7
277,83100,23.083333333333332,24.649
278,83400,23.166666666666664,24.598
279,83700,23.25,24.548
280,84000,23.333333333333332,24.497
281,84300,23.416666666666664,24.446
282,84600,23.5,24.395
283,84900,23.583333333333332,24.344
284,85200,23.666666666666664,24.293
285,85500,23.75,24.242
286,85800,23.833333333333332,24.192
287,86100,23.916666666666664,24.141
288,86400,24.0,24.09
289,86700,24.083333333333332,24.05
290,87000,24.166666666666664,24.01
291,87300,24.25,23.97
292,87600,24.333333333333332,23.93
293,87900,24.416666666666664,23.89
294,88200,24.5,23.85
295,88500,24.583333333333332,23.81
296,88800,24.666666666666664,23.77
297,89100,24.75,23.73
298,89400,24.833333333333332,23.69
299,89700,24.916666666666664,23.65
300,90000,25.0,23.61
301,90300,25.083333333333332,23.578
302,90600,25.166666666666664,23.547
303,90900,25.25,23.515
304,91200,25.333333333333332,23.483
305,91500,25.416666666666664,23.452
306,91800,25.5,23.42
307,92100,25.583333333333332,23.388
308,92400,25.666666666666664,23.357
309,92700,25.75,23.325
310,93000,25.833333333333332,23.293
311,93300,25.916666666666664,23.262
312,93600,26.0,23.23
313,93900,26.083333333333332,23.205
314,94200,26.166666666666664,23.18
315,94500,26.25,23.155
316,94800,26.333333333333332,23.13
317,95100,26.416666666666664,23.105
318,95400,26.5,23.08
319,95700,26.583333333333332,23.055
320,96000,26.666666666666664,23.03
321,96300,26.75,23.005
322,96600,26.833333333333332,22.98
323,96900,26.916666666666664,22.955
324,97200,27.0,22.93
325,97500,27.083333333333332,22.915
326,97800,27.166666666666664,22.9
327,98100,27.25,22.885
328,98400,27.333333333333332,22.87
329,98700,27.416666666666664,22.855
330,99000,27.5,22.84
331,99300,27.583333333333332,22.825
332,99600,27.666666666666664,22.81
333,99900,27.75,22.795
334,100200,27.833333333333332,22.78
335,100500,27.916666666666664,22.765
336,100800,28.0,22.75
337,101100,28.083333333333332,22.748
338,101400,28.166666666666664,22.745
339,101700,28.25,22.742
340,102000,28.333333333333332,22.74
341,102300,28.416666666666664,22.738
342,102600,28.5,22.735
343,102900,28.583333333333332,22.732
344,103200,28.666666666666664,22.73
345,103500,28.75,22.728
346,103800,28.833333333333332,22.725
347,104100,28.916666666666664,22.722
348,104400,29.0,22.72
